Date & Time,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-26_16:39,56,3,74.4589,110,43
2016-11-26_16:42,57,2,74.4589,111,43
2016-11-26_16:45,58,1,74.4589,111,42
2016-11-26_16:47,58,1,74.4589,110,41
2016-11-26_16:50,58,0,74.8918,111,42
2016-11-26_16:53,58,0,74.8918,110,42
2016-11-26_16:55,58,0,74.8918,111,41
2016-11-26_16:58,58,0,74.8918,110,42
2016-11-26_17:01,58,0,74.8918,110,42
2016-11-26_17:03,58,0,74.8918,110,42
2016-11-26_17:06,58,0,74.8918,111,42
2016-11-26_17:08,58,0,74.8918,110,42
2016-11-26_17:11,58,0,74.8918,111,41
2016-11-26_17:14,58,0,74.8918,111,42
2016-11-26_17:16,58,0,74.8918,110,41
2016-11-26_17:19,58,0,74.8918,111,42
2016-11-26_17:22,58,0,74.8918,111,43
2016-11-26_17:24,58,0,74.8918,111,43
2016-11-26_17:27,58,0,74.8918,110,42
2016-11-26_17:30,58,0,74.8918,112,42
2016-11-26_17:32,58,0,74.8918,110,41
2016-11-26_17:35,58,0,74.8918,111,41
2016-11-26_17:38,58,0,74.8918,111,42
2016-11-26_17:40,58,0,74.8918,111,41
2016-11-26_17:43,58,0,74.8918,110,42
2016-11-26_17:46,21,59,65.368,112,41
2016-11-26_17:48,33,41,67.9654,111,42
2016-11-26_17:51,43,27,69.697,112,42
2016-11-26_17:54,49,16,71.8615,110,42
2016-11-26_17:56,53,9,73.1602,111,42
2016-11-26_17:59,54,5,74.4589,112,41
2016-11-26_18:02,56,3,74.4589,110,41
2016-11-26_18:04,57,2,74.4589,111,41
2016-11-26_18:07,58,1,74.4589,111,42
2016-11-26_18:10,58,1,74.4589,110,42
2016-11-26_18:12,58,0,74.8918,111,42
2016-11-26_18:15,58,0,74.8918,111,42
2016-11-26_18:17,58,0,74.8918,111,41
2016-11-26_18:20,58,0,74.8918,111,42
2016-11-26_18:23,58,0,74.8918,112,42
2016-11-26_18:25,58,0,74.8918,112,41
2016-11-26_18:28,58,0,74.8918,110,42
2016-11-26_18:31,58,0,74.8918,110,42
2016-11-26_18:33,58,0,74.8918,110,42
2016-11-26_18:36,58,0,74.8918,110,52
2016-11-26_18:39,58,0,74.8918,110,42
2016-11-26_18:41,58,0,74.8918,110,42
2016-11-26_18:44,58,0,74.8918,110,42
2016-11-26_18:47,58,0,74.8918,111,42
2016-11-26_18:49,58,0,74.8918,113,42
2016-11-26_18:52,58,0,74.8918,111,42
