Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-21_08:48,110,883,367,515,1,41.5629,14,370
2016-12-21_08:54,112,883,367,515,1,41.5629,14,370
2016-12-21_09:01,114,883,367,515,1,41.5629,14,370
2016-12-21_09:07,116,883,367,515,1,41.5629,14,371
2016-12-21_09:14,118,883,367,515,1,41.5629,14,372
2016-12-21_09:20,120,883,367,516,0,41.5629,14,368
2016-12-21_09:26,122,883,367,516,0,41.5629,14,368
2016-12-21_09:33,124,883,367,516,0,41.5629,13,371
2016-12-21_09:39,126,883,367,516,0,41.5629,14,372
2016-12-21_09:46,128,883,367,516,0,41.5629,14,372
2016-12-21_09:52,130,883,367,516,0,41.5629,14,370
2016-12-21_09:58,132,883,367,516,0,41.5629,14,366
2016-12-21_10:05,134,883,367,516,0,41.5629,14,374
2016-12-21_10:11,136,883,367,516,0,41.5629,13,371
2016-12-21_10:18,138,883,367,516,0,41.5629,14,370
2016-12-21_10:24,140,883,367,516,0,41.5629,14,366
2016-12-21_10:30,142,883,367,516,0,41.5629,14,373
2016-12-21_10:37,144,883,367,516,0,41.5629,14,371
2016-12-21_10:43,146,883,367,516,0,41.5629,14,371
2016-12-21_10:50,148,883,367,516,0,41.5629,14,364
2016-12-21_10:56,150,883,367,516,0,41.5629,14,373
2016-12-21_11:02,152,883,367,516,0,41.5629,14,370
2016-12-21_11:09,154,883,367,516,0,41.5629,14,372
2016-12-21_11:15,156,883,367,516,0,41.5629,12,366
2016-12-21_11:22,158,883,367,516,0,41.5629,14,369
2016-12-21_11:28,160,883,367,516,0,41.5629,13,372
2016-12-21_11:34,162,883,367,516,0,41.5629,14,373
2016-12-21_11:41,164,883,367,516,0,41.5629,14,313
2016-12-21_11:46,166,883,367,516,0,41.5629,11,302
2016-12-21_11:51,168,883,367,516,0,41.5629,11,300
2016-12-21_11:57,170,883,367,516,0,41.5629,11,304
2016-12-21_12:02,172,883,367,516,0,41.5629,11,301
2016-12-21_12:07,174,883,367,516,0,41.5629,11,301
2016-12-21_12:12,176,883,367,516,0,41.5629,11,301
2016-12-21_12:18,178,883,367,516,0,41.5629,12,300
2016-12-21_12:23,180,883,367,516,0,41.5629,11,301
2016-12-21_12:28,182,883,367,516,0,41.5629,11,301
2016-12-21_12:33,184,883,367,516,0,41.5629,12,301
2016-12-21_12:38,186,883,367,516,0,41.5629,12,302
2016-12-21_12:44,188,883,367,516,0,41.5629,11,301
2016-12-21_12:49,190,883,367,516,0,41.5629,11,301
2016-12-21_12:54,192,883,367,516,0,41.5629,12,307
2016-12-21_12:59,194,883,367,516,0,41.5629,12,300
