Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-29_02:39,10000,391,16,2,373,4.09207,20934,1638,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_03:06,11000,391,20,2,369,5.11509,20934,1624,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_03:33,12000,391,30,2,359,7.67263,20934,1618,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_04:00,13000,391,40,2,349,10.2302,20934,1577,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_04:27,14000,391,45,2,344,11.509,20934,1476,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_04:51,15000,391,55,2,334,14.0665,20934,1531,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_05:17,16000,391,68,3,320,17.3913,20934,1594,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_05:43,17000,391,78,3,310,19.9488,20934,1582,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_06:10,18000,391,90,4,297,23.0179,20934,1580,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_06:36,19000,391,115,5,271,29.4118,20934,1576,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_07:02,20000,391,138,7,246,35.2941,20934,1600,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_07:29,21000,391,170,9,212,43.4783,20934,1573,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
2016-12-29_07:55,22000,391,203,10,178,51.9182,20934,1574,2.95944e+08,1.35905e+08,1.0422e+08,8.91055e+07,8.0236e+07,6.50349e+07,5.93618e+07,3.16809e+07,3.07599e+07,2.54953e+07
