Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-26_20:10,2,40,0,0,40,0,1,1
2016-12-26_20:10,4,40,0,0,40,0,1,1
2016-12-26_20:10,6,40,0,0,40,0,1,1
2016-12-26_20:10,8,40,0,0,40,0,1,1
2016-12-26_20:10,10,40,0,0,40,0,1,1
2016-12-26_20:10,12,40,0,0,40,0,0,1
2016-12-26_20:10,14,40,0,0,40,0,1,1
2016-12-26_20:10,16,40,0,0,40,0,1,1
2016-12-26_20:10,18,40,0,0,40,0,1,1
2016-12-26_20:10,20,40,0,0,40,0,1,1
2016-12-26_20:11,22,40,0,0,40,0,1,1
2016-12-26_20:11,24,40,0,0,40,0,0,1
2016-12-26_20:11,26,40,0,0,40,0,1,1
2016-12-26_20:11,28,40,0,0,40,0,1,1
2016-12-26_20:11,30,40,1,0,39,2.5,1,1
2016-12-26_20:11,32,40,5,0,35,12.5,0,1
2016-12-26_20:11,34,40,11,0,29,27.5,0,1
2016-12-26_20:11,36,40,15,0,25,37.5,1,1
2016-12-26_20:11,38,40,17,0,23,42.5,1,1
2016-12-26_20:11,40,40,23,0,17,57.5,0,2
2016-12-26_20:11,42,40,29,0,11,72.5,0,1
2016-12-26_20:11,44,40,30,0,10,75,1,1
2016-12-26_20:11,46,40,33,0,7,82.5,1,1
2016-12-26_20:11,48,40,34,0,6,85,1,1
2016-12-26_20:11,50,40,37,0,3,92.5,0,1
2016-12-26_20:11,52,40,37,0,3,92.5,1,1
2016-12-26_20:11,54,40,39,1,0,97.5,1,1
2016-12-26_20:11,56,40,39,1,0,97.5,1,1
2016-12-26_20:11,58,40,39,1,0,97.5,0,1
2016-12-26_20:11,60,40,39,1,0,97.5,1,1
2016-12-26_20:11,62,40,39,1,0,97.5,1,1
2016-12-26_20:11,64,40,39,1,0,97.5,1,1
2016-12-26_20:11,66,40,39,1,0,97.5,0,2
2016-12-26_20:11,68,40,39,1,0,97.5,0,1
2016-12-26_20:11,70,40,39,1,0,97.5,1,1
2016-12-26_20:11,72,40,39,1,0,97.5,1,1
2016-12-26_20:11,74,40,39,1,0,97.5,0,2
2016-12-26_20:11,76,40,39,1,0,97.5,0,1
2016-12-26_20:11,78,40,39,1,0,97.5,1,1
2016-12-26_20:11,80,40,39,1,0,97.5,1,1
2016-12-26_20:11,82,40,39,1,0,97.5,1,1
2016-12-26_20:11,84,40,39,1,0,97.5,0,1
2016-12-26_20:11,86,40,39,1,0,97.5,1,1
2016-12-26_20:11,88,40,39,1,0,97.5,1,1
2016-12-26_20:12,90,40,39,1,0,97.5,1,1
2016-12-26_20:12,92,40,39,1,0,97.5,0,1
2016-12-26_20:12,94,40,39,1,0,97.5,1,2
2016-12-26_20:12,96,40,39,1,0,97.5,0,2
2016-12-26_20:12,98,40,39,1,0,97.5,0,1
2016-12-26_20:12,100,40,39,1,0,97.5,1,1
