Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-28_17:42,0,265,0,0,265,0,11,52
2016-12-28_17:43,5,265,0,0,265,0,12,52
2016-12-28_17:44,10,265,0,0,265,0,11,51
2016-12-28_17:45,15,265,0,0,265,0,11,51
2016-12-28_17:46,20,265,60,0,205,22.6415,11,53
2016-12-28_17:47,25,265,73,0,192,27.5472,11,51
2016-12-28_17:48,30,265,97,0,168,36.6038,11,51
2016-12-28_17:49,35,265,149,1,115,56.2264,11,50
2016-12-28_17:50,40,265,190,5,70,71.6981,11,50
2016-12-28_17:51,45,265,217,14,34,81.8868,13,58
2016-12-28_17:52,50,265,222,22,21,83.7736,13,58
2016-12-28_17:53,55,265,226,22,17,85.283,13,54
2016-12-28_17:54,60,265,231,25,9,87.1698,11,51
2016-12-28_17:55,65,265,235,27,3,88.6792,11,53
2016-12-28_17:57,70,265,237,27,1,89.434,11,52
2016-12-28_17:58,75,265,237,27,1,89.434,11,51
2016-12-28_17:59,80,265,237,27,1,89.434,11,51
2016-12-28_18:00,85,265,237,27,1,89.434,11,53
2016-12-28_18:01,90,265,237,27,1,89.434,13,58
2016-12-28_18:02,95,265,237,28,0,89.434,11,51
2016-12-28_18:03,100,265,237,28,0,89.434,11,51
2016-12-28_18:04,105,265,237,28,0,89.434,12,51
2016-12-28_18:05,110,265,237,28,0,89.434,11,51
2016-12-28_18:06,115,265,237,28,0,89.434,11,51
2016-12-28_18:07,120,265,237,28,0,89.434,11,51
2016-12-28_18:08,125,265,237,28,0,89.434,12,58
2016-12-28_18:09,130,265,237,28,0,89.434,12,51
2016-12-28_18:10,135,265,237,28,0,89.434,11,51
2016-12-28_18:11,140,265,237,28,0,89.434,11,51
2016-12-28_18:12,145,265,237,28,0,89.434,11,51
2016-12-28_18:14,150,265,237,28,0,89.434,11,52
2016-12-28_18:15,155,265,237,28,0,89.434,11,51
2016-12-28_18:16,160,265,237,28,0,89.434,13,58
2016-12-28_18:17,165,265,237,28,0,89.434,13,59
2016-12-28_18:18,170,265,237,28,0,89.434,12,51
2016-12-28_18:19,175,265,237,28,0,89.434,11,51
2016-12-28_18:20,180,265,237,28,0,89.434,12,59
2016-12-28_18:21,185,265,237,28,0,89.434,11,51
2016-12-28_18:22,190,265,237,28,0,89.434,11,51
2016-12-28_18:23,195,265,237,28,0,89.434,12,58
2016-12-28_18:25,200,265,237,28,0,89.434,11,50
