Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-26_19:41,10000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,11000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,12000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,13000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,14000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,15000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,16000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,17000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,18000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,19000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,20000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,21000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,22000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,23000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,24000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,25000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,26000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,27000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,28000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,29000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,30000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,31000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,32000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,33000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,34000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,35000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,36000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,37000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,38000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,39000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,40000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,41000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,42000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,43000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,44000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,45000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,46000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,47000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,48000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,49000,40,38,2,0,95,6,0,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
2016-12-26_19:41,50000,40,38,2,0,95,6,1,2.82028e+06,2.10718e+06,1.06908e+06,893725,859472,536417,411587,372063,317254,289194
