Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-27_13:30,10000,391,13,3,375,3.32481,18351,1511,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_13:56,11000,391,18,3,370,4.60358,18351,1532,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_14:21,12000,391,28,3,360,7.16113,18351,1491,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_14:46,13000,391,37,3,351,9.46292,18351,1507,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_15:11,14000,391,44,3,344,11.2532,18351,1550,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_15:37,15000,391,56,3,332,14.3223,18351,1509,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_16:02,16000,391,63,4,324,16.1125,18351,1507,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_16:27,17000,391,79,5,307,20.2046,18351,1483,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_16:52,18000,391,99,5,287,25.3197,18351,1493,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_17:17,19000,391,117,6,268,29.9233,18351,1480,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_17:41,20000,391,139,8,244,35.5499,18351,1491,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_18:06,21000,391,166,11,214,42.4552,18351,1486,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_18:31,22000,391,199,13,179,50.8951,18351,1487,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_18:56,23000,391,230,14,147,58.8235,18351,1540,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_19:22,24000,391,254,16,121,64.9616,18351,1601,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_19:48,25000,391,279,20,92,71.3555,18351,1509,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_20:13,26000,391,293,22,76,74.9361,18351,1480,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_20:38,27000,391,307,23,61,78.5166,18351,1474,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_21:03,28000,391,319,28,44,81.5857,18351,1472,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_21:27,29000,391,330,31,30,84.399,18351,1484,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-27_21:52,30000,391,339,32,20,86.7008,18351,1486,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
