Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-24_22:19,74,391,278,113,0,71.0997,154,98
2016-12-24_22:24,76,391,278,113,0,71.0997,154,99
2016-12-24_22:28,78,391,278,113,0,71.0997,154,97
2016-12-24_22:32,80,391,278,113,0,71.0997,153,98
2016-12-24_22:36,82,391,278,113,0,71.0997,154,99
2016-12-24_22:41,84,391,278,113,0,71.0997,155,98
2016-12-24_22:45,86,391,278,113,0,71.0997,154,98
2016-12-24_22:49,88,391,278,113,0,71.0997,154,99
2016-12-24_22:53,90,391,278,113,0,71.0997,154,97
2016-12-24_22:57,92,391,278,113,0,71.0997,153,98
2016-12-24_23:02,94,391,278,113,0,71.0997,154,98
2016-12-24_23:06,96,391,278,113,0,71.0997,154,98
2016-12-24_23:10,98,391,278,113,0,71.0997,154,97
2016-12-24_23:14,100,391,278,113,0,71.0997,154,97
2016-12-24_23:19,2,391,6,3,382,1.53453,154,98
2016-12-24_23:23,4,391,108,4,279,27.6215,154,98
2016-12-24_23:27,6,391,178,10,203,45.5243,154,98
2016-12-24_23:31,8,391,209,22,160,53.4527,154,97
2016-12-24_23:35,10,391,231,36,124,59.0793,154,98
2016-12-24_23:40,12,391,248,63,80,63.4271,154,98
2016-12-24_23:44,14,391,255,79,57,65.2174,154,97
2016-12-24_23:48,16,391,266,97,28,68.0307,156,97
2016-12-24_23:52,18,391,270,106,15,69.0537,156,98
2016-12-24_23:57,20,391,274,110,7,70.0767,154,97
2016-12-25_00:01,22,391,277,110,4,70.844,154,97
2016-12-25_00:05,24,391,278,111,2,71.0997,154,98
2016-12-25_00:09,26,391,278,111,2,71.0997,154,98
2016-12-25_00:13,28,391,278,112,1,71.0997,154,98
2016-12-25_00:18,30,391,278,112,1,71.0997,153,98
2016-12-25_00:22,32,391,278,113,0,71.0997,154,97
2016-12-25_00:26,34,391,278,113,0,71.0997,154,97
2016-12-25_00:30,36,391,278,113,0,71.0997,153,97
2016-12-25_00:34,38,391,278,113,0,71.0997,153,97
2016-12-25_00:39,40,391,278,113,0,71.0997,153,97
2016-12-25_00:43,42,391,278,113,0,71.0997,153,97
2016-12-25_00:47,44,391,278,113,0,71.0997,153,97
2016-12-25_00:51,46,391,278,113,0,71.0997,153,97
2016-12-25_00:55,48,391,278,113,0,71.0997,153,97
2016-12-25_01:00,50,391,278,113,0,71.0997,153,98
2016-12-25_01:04,52,391,278,113,0,71.0997,153,98
2016-12-25_01:08,54,391,278,113,0,71.0997,153,98
2016-12-25_01:12,56,391,278,113,0,71.0997,153,98
2016-12-25_01:16,58,391,278,113,0,71.0997,153,98
2016-12-25_01:21,60,391,278,113,0,71.0997,153,98
2016-12-25_01:25,62,391,278,113,0,71.0997,153,98
2016-12-25_01:29,64,391,278,113,0,71.0997,153,98
2016-12-25_01:33,66,391,278,113,0,71.0997,156,98
2016-12-25_01:37,68,391,278,113,0,71.0997,153,98
2016-12-25_01:42,70,391,278,113,0,71.0997,153,98
2016-12-25_01:46,72,391,278,113,0,71.0997,153,98
2016-12-25_01:50,74,391,278,113,0,71.0997,154,97
2016-12-25_01:54,76,391,278,113,0,71.0997,153,98
2016-12-25_01:59,78,391,278,113,0,71.0997,153,98
2016-12-25_02:03,80,391,278,113,0,71.0997,154,98
2016-12-25_02:07,82,391,278,113,0,71.0997,153,98
2016-12-25_02:11,84,391,278,113,0,71.0997,153,97
2016-12-25_02:15,86,391,278,113,0,71.0997,153,97
2016-12-25_02:20,88,391,278,113,0,71.0997,152,98
2016-12-25_02:24,90,391,278,113,0,71.0997,152,97
2016-12-25_02:28,92,391,278,113,0,71.0997,152,97
2016-12-25_02:32,94,391,278,113,0,71.0997,155,98
2016-12-25_02:36,96,391,278,113,0,71.0997,153,97
2016-12-25_02:41,98,391,278,113,0,71.0997,152,97
2016-12-25_02:45,100,391,278,113,0,71.0997,152,97
