Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-24_19:48,2,391,6,3,382,1.53453,152,97
2016-12-24_19:52,4,391,108,4,279,27.6215,152,97
2016-12-24_19:57,6,391,178,10,203,45.5243,152,97
2016-12-24_20:01,8,391,209,22,160,53.4527,152,97
2016-12-24_20:05,10,391,231,36,124,59.0793,152,97
2016-12-24_20:09,12,391,248,63,80,63.4271,152,97
2016-12-24_20:13,14,391,255,79,57,65.2174,152,97
2016-12-24_20:17,16,391,266,97,28,68.0307,152,98
2016-12-24_20:22,18,391,270,106,15,69.0537,152,97
2016-12-24_20:26,20,391,274,110,7,70.0767,152,97
2016-12-24_20:30,22,391,277,110,4,70.844,154,96
2016-12-24_20:34,24,391,278,111,2,71.0997,152,96
2016-12-24_20:38,26,391,278,111,2,71.0997,152,98
2016-12-24_20:43,28,391,278,112,1,71.0997,152,97
2016-12-24_20:47,30,391,278,112,1,71.0997,152,97
2016-12-24_20:51,32,391,278,113,0,71.0997,152,97
2016-12-24_20:55,34,391,278,113,0,71.0997,152,96
2016-12-24_20:59,36,391,278,113,0,71.0997,152,96
2016-12-24_21:03,38,391,278,113,0,71.0997,152,96
2016-12-24_21:08,40,391,278,113,0,71.0997,151,97
2016-12-24_21:12,42,391,278,113,0,71.0997,152,96
2016-12-24_21:16,44,391,278,113,0,71.0997,152,96
2016-12-24_21:20,46,391,278,113,0,71.0997,152,96
2016-12-24_21:24,48,391,278,113,0,71.0997,152,96
2016-12-24_21:28,50,391,278,113,0,71.0997,151,97
2016-12-24_21:32,52,391,278,113,0,71.0997,155,98
2016-12-24_21:37,54,391,278,113,0,71.0997,157,99
2016-12-24_21:41,56,391,278,113,0,71.0997,154,98
2016-12-24_21:45,58,391,278,113,0,71.0997,154,98
2016-12-24_21:49,60,391,278,113,0,71.0997,154,99
2016-12-24_21:54,62,391,278,113,0,71.0997,152,98
2016-12-24_21:58,64,391,278,113,0,71.0997,158,98
2016-12-24_22:02,66,391,278,113,0,71.0997,154,121
2016-12-24_22:07,68,391,278,113,0,71.0997,154,97
2016-12-24_22:11,70,391,278,113,0,71.0997,153,98
2016-12-24_22:15,72,391,278,113,0,71.0997,154,99
