Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-24_12:49,2,605,5,0,600,0.826446,12,223
2016-12-24_12:53,4,605,5,0,600,0.826446,13,223
2016-12-24_12:57,6,605,5,0,600,0.826446,12,222
2016-12-24_13:01,8,605,5,0,600,0.826446,12,223
2016-12-24_13:05,10,605,5,0,600,0.826446,12,223
2016-12-24_13:09,12,605,5,0,600,0.826446,12,223
2016-12-24_13:13,14,605,5,0,600,0.826446,12,223
2016-12-24_13:17,16,605,5,0,600,0.826446,12,223
2016-12-24_13:21,18,605,5,0,600,0.826446,12,223
2016-12-24_13:24,20,605,5,0,600,0.826446,12,223
2016-12-24_13:28,22,605,5,0,600,0.826446,12,223
2016-12-24_13:32,24,605,5,0,600,0.826446,12,223
2016-12-24_13:36,26,605,6,0,599,0.991736,12,223
2016-12-24_13:40,28,605,9,0,596,1.4876,12,223
2016-12-24_13:44,30,605,17,0,588,2.80992,12,223
2016-12-24_13:48,32,605,30,0,575,4.95868,12,223
2016-12-24_13:52,34,605,43,0,562,7.10744,12,223
2016-12-24_13:56,36,605,58,0,547,9.58678,12,224
2016-12-24_14:00,38,605,81,4,520,13.3884,13,222
2016-12-24_14:04,40,605,102,14,489,16.8595,12,223
2016-12-24_14:08,42,605,127,35,443,20.9917,12,223
2016-12-24_14:12,44,605,160,75,370,26.4463,12,223
2016-12-24_14:15,46,605,186,103,316,30.7438,13,223
2016-12-24_14:19,48,605,204,140,261,33.719,12,222
2016-12-24_14:23,50,605,215,167,223,35.5372,12,223
2016-12-24_14:27,52,605,222,206,177,36.6942,12,224
2016-12-24_14:31,54,605,235,229,141,38.843,12,223
2016-12-24_14:35,56,605,240,254,111,39.6694,12,223
2016-12-24_14:39,58,605,242,280,83,40,12,223
2016-12-24_14:43,60,605,244,292,69,40.3306,12,223
2016-12-24_14:47,62,605,246,304,55,40.6612,12,223
2016-12-24_14:51,64,605,247,314,44,40.8264,12,223
2016-12-24_14:55,66,605,248,320,37,40.9917,12,223
2016-12-24_14:59,68,605,250,325,30,41.3223,12,223
2016-12-24_15:02,70,605,252,330,23,41.6529,12,223
2016-12-24_15:06,72,605,253,336,16,41.8182,12,224
2016-12-24_15:10,74,605,253,340,12,41.8182,12,223
2016-12-24_15:14,76,605,254,342,9,41.9835,12,223
2016-12-24_15:18,78,605,254,344,7,41.9835,12,224
2016-12-24_15:22,80,605,254,347,4,41.9835,12,223
2016-12-24_15:26,82,605,254,347,4,41.9835,12,224
2016-12-24_15:30,84,605,254,347,4,41.9835,12,223
2016-12-24_15:34,86,605,254,347,4,41.9835,12,224
2016-12-24_15:38,88,605,254,347,4,41.9835,12,344
2016-12-24_15:44,90,605,254,348,3,41.9835,12,220
2016-12-24_15:48,92,605,254,349,2,41.9835,13,222
2016-12-24_15:52,94,605,254,349,2,41.9835,12,223
2016-12-24_15:55,96,605,254,349,2,41.9835,12,223
2016-12-24_15:59,98,605,254,349,2,41.9835,12,223
2016-12-24_16:03,100,605,254,350,1,41.9835,12,223
2016-12-24_16:07,2,605,5,0,600,0.826446,12,224
2016-12-24_16:11,4,605,5,0,600,0.826446,12,223
2016-12-24_16:15,6,605,5,0,600,0.826446,12,223
2016-12-24_16:19,8,605,5,0,600,0.826446,12,222
2016-12-24_16:23,10,605,5,0,600,0.826446,13,222
2016-12-24_16:27,12,605,5,0,600,0.826446,12,223
2016-12-24_16:31,14,605,5,0,600,0.826446,12,223
2016-12-24_16:35,16,605,5,0,600,0.826446,12,224
2016-12-24_16:39,18,605,5,0,600,0.826446,12,224
2016-12-24_16:43,20,605,5,0,600,0.826446,12,224
2016-12-24_16:46,22,605,5,0,600,0.826446,12,224
2016-12-24_16:50,24,605,5,0,600,0.826446,12,223
2016-12-24_16:54,26,605,6,0,599,0.991736,13,222
2016-12-24_16:58,28,605,9,0,596,1.4876,12,223
2016-12-24_17:02,30,605,17,0,588,2.80992,12,223
2016-12-24_17:06,32,605,30,0,575,4.95868,12,224
2016-12-24_17:10,34,605,43,0,562,7.10744,12,223
2016-12-24_17:14,36,605,58,0,547,9.58678,13,223
2016-12-24_17:18,38,605,81,4,520,13.3884,12,224
2016-12-24_17:22,40,605,102,14,489,16.8595,12,223
2016-12-24_17:26,42,605,127,35,443,20.9917,12,224
2016-12-24_17:30,44,605,160,75,370,26.4463,12,223
2016-12-24_17:34,46,605,186,103,316,30.7438,12,223
2016-12-24_17:37,48,605,204,140,261,33.719,12,223
2016-12-24_17:41,50,605,215,167,223,35.5372,12,223
2016-12-24_17:45,52,605,222,206,177,36.6942,12,223
2016-12-24_17:49,54,605,235,229,141,38.843,12,223
2016-12-24_17:53,56,605,240,254,111,39.6694,12,223
2016-12-24_17:57,58,605,242,280,83,40,12,222
2016-12-24_18:01,60,605,244,292,69,40.3306,12,223
2016-12-24_18:05,62,605,246,304,55,40.6612,12,224
2016-12-24_18:09,64,605,247,314,44,40.8264,12,221
2016-12-24_18:13,66,605,248,320,37,40.9917,11,221
2016-12-24_18:17,68,605,250,325,30,41.3223,12,221
2016-12-24_18:21,70,605,252,330,23,41.6529,12,224
2016-12-24_18:24,72,605,253,336,16,41.8182,12,223
2016-12-24_18:28,74,605,253,340,12,41.8182,13,223
2016-12-24_18:32,76,605,254,342,9,41.9835,12,224
2016-12-24_18:36,78,605,254,344,7,41.9835,12,224
2016-12-24_18:40,80,605,254,347,4,41.9835,13,223
2016-12-24_18:44,82,605,254,347,4,41.9835,12,223
2016-12-24_18:48,84,605,254,347,4,41.9835,12,224
2016-12-24_18:52,86,605,254,347,4,41.9835,12,223
2016-12-24_18:56,88,605,254,347,4,41.9835,12,223
2016-12-24_19:00,90,605,254,348,3,41.9835,12,224
2016-12-24_19:04,92,605,254,349,2,41.9835,12,223
2016-12-24_19:08,94,605,254,349,2,41.9835,12,223
2016-12-24_19:12,96,605,254,349,2,41.9835,12,223
2016-12-24_19:15,98,605,254,349,2,41.9835,12,223
2016-12-24_19:19,100,605,254,350,1,41.9835,12,223
