Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-29_13:29,37000,391,352,39,0,90.0256,19138,1600,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_13:55,38000,391,352,39,0,90.0256,19138,1602,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_14:22,39000,391,352,39,0,90.0256,19138,1602,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_14:49,40000,391,352,39,0,90.0256,19138,1589,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_15:15,41000,391,352,39,0,90.0256,19138,1594,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_15:42,42000,391,352,39,0,90.0256,19138,1592,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_16:08,43000,391,352,39,0,90.0256,19138,1602,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_16:35,44000,391,352,39,0,90.0256,19138,1601,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_17:02,45000,391,352,39,0,90.0256,19138,1604,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_17:28,46000,391,352,39,0,90.0256,19138,1606,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_17:55,47000,391,352,39,0,90.0256,19138,1600,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_18:22,48000,391,352,39,0,90.0256,19138,1602,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_18:49,49000,391,352,39,0,90.0256,19138,1603,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_19:15,50000,391,352,39,0,90.0256,19138,1608,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_19:42,51000,391,352,39,0,90.0256,19138,1600,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_20:09,52000,391,352,39,0,90.0256,19138,1600,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_20:35,53000,391,352,39,0,90.0256,19138,1602,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_21:02,54000,391,352,39,0,90.0256,19138,1601,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_21:29,55000,391,352,39,0,90.0256,19138,1597,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_21:55,56000,391,352,39,0,90.0256,19138,1599,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_22:22,57000,391,352,39,0,90.0256,19138,1593,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_22:49,58000,391,352,39,0,90.0256,19138,1551,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_23:15,59000,391,352,39,0,90.0256,19138,1557,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-29_23:40,60000,391,352,39,0,90.0256,19138,1560,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_00:06,61000,391,352,39,0,90.0256,19138,1599,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_00:33,62000,391,352,39,0,90.0256,19138,1597,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_01:00,63000,391,352,39,0,90.0256,19138,1601,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_01:26,64000,391,352,39,0,90.0256,19138,1599,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_01:53,65000,391,352,39,0,90.0256,19138,1600,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_02:20,66000,391,352,39,0,90.0256,19138,1598,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_02:46,67000,391,352,39,0,90.0256,19138,1554,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_03:12,68000,391,352,39,0,90.0256,19138,1587,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_03:39,69000,391,352,39,0,90.0256,19138,1604,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-30_04:05,70000,391,352,39,0,90.0256,19138,1596,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
