Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time,EigenValue #0,EigenValue #1,EigenValue #2,EigenValue #3,EigenValue #4,EigenValue #5,EigenValue #6,EigenValue #7,EigenValue #8,EigenValue #9
2016-12-25_10:51,500,391,0,3,388,0,7770,2,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,600,391,0,3,388,0,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,700,391,0,3,388,0,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,800,391,0,3,388,0,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,900,391,0,3,388,0,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1000,391,1,3,387,0.255754,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1100,391,1,3,387,0.255754,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1200,391,1,3,387,0.255754,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1300,391,2,3,386,0.511509,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1400,391,3,3,385,0.767263,7770,3,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
2016-12-25_10:51,1500,391,3,3,385,0.767263,7770,2,2.97375e+08,1.3428e+08,1.03479e+08,8.84147e+07,8.04821e+07,6.47649e+07,6.05002e+07,3.1526e+07,3.07934e+07,2.52546e+07
